"column"	"row"	"observed"	"expected-mean"	"expected-stdev"	"distribution"	"probability"	"N"	"left-p-value"	"right-p-value"	"two-tail-p-value"	"corrected-left-p-value"	"corrected-right-p-value"	"corrected-two-tail-p-value"
"adrenal cortex"	"ABC transporters"	10	6.579613252655186	2.3655273896029287	"BINOMIAL"	0.1495366648330724	44	0.9444550740053083	0.1118359112409525	1	1	0.34411049612600775	1
"bones and joints"	"ABC transporters"	1	3.4190469965357213	1.7590702208740057	"BINOMIAL"	0.09497352768154782	36	0.13153397865216968	0.9724700022913514	1	0.9771095557018319	1	1
"brain, nos"	"ABC transporters"	5	4.356619980535691	1.9812251804511796	"BINOMIAL"	0.09901409046672026	44	0.733150467342288	0.44399090405039293	1	1	1	1
"breast"	"ABC transporters"	2	1.5824034679296781	1.2351090479422708	"BINOMIAL"	0.03596371518021996	44	0.7899173515792575	0.472832337815626	1	1	1	1
"cervix uteri"	"ABC transporters"	4	2.6176955951423855	1.5690636753218399	"BINOMIAL"	0.05949308170778149	44	0.8810696965819429	0.26517788113772034	1	1	0.9428546884896724	1
"colon, nos"	"ABC transporters"	2	3.8277712560791546	1.86943174690391	"BINOMIAL"	0.08699480127452625	44	0.25125361580028205	0.9053328622387062	1	1	1	1
"HR systems"	"ABC transporters"	1	2.0723974369643003	1.405271375358551	"BINOMIAL"	0.04709994174918865	44	0.3800181051597613	0.8803029205835672	1	0.7696569218425545	1	1
"kidney"	"ABC transporters"	6	3.589556975415732	1.8156866196774788	"BINOMIAL"	0.08158084035035755	44	0.9360002306910462	0.14600300072379374	1	1	0.4767444921593265	1
"liver"	"ABC transporters"	7	4.562981856124282	2.0223208890807802	"BINOMIAL"	0.10370413309373369	44	0.9195783297203813	0.1664627723987191	1	1	0.43835196731662696	1
"lung"	"ABC transporters"	0	1.068676716917923	1.0211369067134985	"BINOMIAL"	0.024288107202680067	44	0.3389614720193603	1	1	0.9860697367835936	1	1
"lymph nodes"	"ABC transporters"	2	3.548207975769813	1.8061219825320067	"BINOMIAL"	0.08064109035840485	44	0.30025063052194323	0.8797929607328181	1	0.8282776014398434	1	1
