column	row	N	corrected-left-p-value	corrected-right-p-value	corrected-two-tail-p-value	distribution	expected-mean	expected-stdev	left-p-value	observed	probability	right-p-value	two-tail-p-value
skin	ECM-receptor interaction	82	0.9999999999997478	2.3173525281217038E-10	1	BINOMIAL	10.162823170989718	2.9838355681505613	0.9999999999997478	36	0.12393686793889899	1.4483453300760648E-12	1
liver	ECM-receptor interaction	78	1	1.787868179259391E-5	1	BINOMIAL	8.088922381311228	2.6925949747585225	0.9999998332959894	24	0.10370413309373369	6.789372832630599E-7	1
testis	ECM-receptor interaction	81	1	2.0005532988573628E-4	1	BINOMIAL	7.701100811123986	2.6398704887750712	0.9999954156360211	21	0.09507531865585168	1.6356725084997307E-5	1
kidney	ECM-receptor interaction	82	1	9.054403099381182E-6	1	BINOMIAL	6.689628908729319	2.4786858132331204	0.9999998968071476	22	0.08158084035035755	4.5272015496905913E-7	1
adrenal cortex	ECM-receptor interaction	82	1	3.823601542982451E-6	1	BINOMIAL	12.262006516311937	3.2293013110735345	0.9999999749581426	32	0.1495366648330724	9.559003857456126E-8	1
brain, nos	ECM-receptor interaction	82	0.9999999999971798	2.6025347987208305E-9	1	BINOMIAL	8.119155418271061	2.7046708911017268	0.9999999999971799	31	0.09901409046672026	1.626584249200519E-11	1
colon, nos	ECM-receptor interaction	83	1	3.59575087781617E-7	1	BINOMIAL	7.220568505785678	2.5675701711025836	0.9999999991073067	26	0.08699480127452625	4.494688597270212E-9	1
ovary	ECM-receptor interaction	80	1	0.001297286218387426	1	BINOMIAL	6.67233152493627	2.473020708607803	0.9999932301268671	19	0.08340414406170338	2.4947811892065883E-5	1
urinary bladder	ECM-receptor interaction	81	0.9999999894336953	8.623623216664376E-6	1	BINOMIAL	5.405969975561504	2.2461463751974096	0.9999999894336953	21	0.06674037006866054	5.492753641187501E-8	1
breast	ECM-receptor interaction	84	1	7.144276026592104E-5	1	BINOMIAL	3.020952075138476	1.7065483922629037	0.9999996937578488	14	0.03596371518021996	1.786069006648026E-6	1
lung	ECM-receptor interaction	84	1	0.2224642018370794	1	BINOMIAL	2.040201005025126	1.410903392972056	0.9955751023290451	6	0.024288107202680067	0.016684815137780955	1
bones and joints	ECM-receptor interaction	80	1	1	1	BINOMIAL	7.597882214523826	2.622267060713231	0.5060199751417247	7	0.09497352768154782	0.6458493509911754	1
cervix uteri	ECM-receptor interaction	82	1	0.05295506533720103	1	BINOMIAL	4.878432700038082	2.142008334439622	0.998914754070568	12	0.05949308170778149	0.0033096915835750637	1
mouth, nos	ECM-receptor interaction	81	0.9999999999985464	2.196983265062306E-9	1	BINOMIAL	2.660924692622951	1.6042165884782351	0.9999999999985464	19	0.03285092213114754	1.3904957373812063E-11	1
