samples	symbol	Genomic Alterations	Mutation	CNA Status	Expression
TCGA-02-0006	ABCB1	-	-	-	-
TCGA-02-0006	ACVR1B	-	-	-	-
TCGA-02-0006	ADCY1	-	-	-	-
TCGA-02-0006	ADORA2A	-	-	-	-
TCGA-02-0006	AHNAK2	-	-	-	-
TCGA-02-0006	AKAP9	-	-	-	-
TCGA-02-0006	AKD1	-	-	-	-
TCGA-02-0006	AKT1	-	-	-	-
TCGA-02-0006	AMPH	-	-	-	-
TCGA-02-0006	APAF1	-	-	-	-
TCGA-02-0006	BCOR	-	-	-	-
TCGA-02-0006	BRAF	-	-	-	-
TCGA-02-0006	BRCA1	-	-	-	-
TCGA-02-0006	BRCA2	-	-	-	-
TCGA-02-0006	CAD	-	-	-	-
TCGA-02-0006	CASP8	-	-	-	-
TCGA-02-0006	CAST	-	-	-	-
TCGA-02-0006	CBFB	-	-	-	-
TCGA-02-0006	CCND1	-	-	-	-
TCGA-02-0006	CDKN2A	-	-	-	-
TCGA-02-0006	CDKN2C	-	-	-	-
TCGA-02-0006	CEBPA	-	-	-	-
TCGA-02-0006	CENPF	-	-	-	-
TCGA-02-0006	CFH	-	-	-	-
TCGA-02-0006	CHD4	-	-	-	-
TCGA-02-0006	CHD8	-	-	-	-
TCGA-02-0006	CREM	-	-	-	-
TCGA-02-0006	CRTC3	-	-	-	-
TCGA-02-0006	CTCF	-	-	-	-
TCGA-02-0006	CUL1	-	-	-	-
TCGA-02-0006	DHX9	-	-	-	-
TCGA-02-0006	DICER1	-	-	-	-
TCGA-02-0006	DMD	-	-	-	-
TCGA-02-0006	DNMT3A	-	-	-	-
TCGA-02-0006	EGFR	-	-	-	-
TCGA-02-0006	EIF4A2	-	-	-	-
TCGA-02-0006	ELF3	-	-	-	-
TCGA-02-0006	ERCC2	-	-	-	-
TCGA-02-0006	EWSR1	-	-	-	-
TCGA-02-0006	EZH2	-	-	-	-
TCGA-02-0006	FANCA	-	-	-	-
TCGA-02-0006	FBN2	-	-	-	-
TCGA-02-0006	FBXO11	-	-	-	-
TCGA-02-0006	FES	-	-	-	-
TCGA-02-0006	FGFR3	-	-	-	-
TCGA-02-0006	FLT3	-	-	-	-
TCGA-02-0006	FOXA2	-	-	-	-
TCGA-02-0006	FRG1B	-	-	-	-
TCGA-02-0006	GATA3	-	-	-	-
TCGA-02-0006	GNAI1	-	-	-	-
TCGA-02-0006	GNAS	-	-	-	-
TCGA-02-0006	GOLGA5	-	-	-	-
TCGA-02-0006	GOT2	-	-	-	-
TCGA-02-0006	GPHN	-	-	-	-
TCGA-02-0006	GPS2	-	-	-	-
TCGA-02-0006	H3F3C	-	-	-	-
TCGA-02-0006	HGF	-	-	-	-
TCGA-02-0006	HLA-A	-	-	-	-
TCGA-02-0006	HMGXB4	-	-	-	-
TCGA-02-0006	HRAS	-	-	-	-
TCGA-02-0006	HSPA8	-	-	-	-
TCGA-02-0006	HUWE1	-	-	-	-
TCGA-02-0006	IDH1	-	-	-	-
TCGA-02-0006	IDH2	-	-	-	-
TCGA-02-0006	IRS2	-	-	-	-
TCGA-02-0006	KDM5C	-	-	-	-
TCGA-02-0006	KEAP1	-	-	-	-
TCGA-02-0006	KIFC3	-	-	-	-
TCGA-02-0006	KIT	-	-	-	-
TCGA-02-0006	KRAS	-	-	-	-
TCGA-02-0006	LEPR	-	-	-	-
TCGA-02-0006	LIFR	-	-	-	-
TCGA-02-0006	LPP	-	-	-	-
TCGA-02-0006	LUM	-	-	-	-
TCGA-02-0006	LZTR1	-	-	-	-
TCGA-02-0006	MALAT1	-	-	-	-
TCGA-02-0006	MAP2K4	-	-	-	-
TCGA-02-0006	MAP3K3	-	-	-	-
TCGA-02-0006	MAPK8IP1	-	-	-	-
TCGA-02-0006	MATK	-	-	-	-
TCGA-02-0006	MDM2	2	0	2	-
TCGA-02-0006	MDM4	-	-	-	-
TCGA-02-0006	METTL14	-	-	-	-
TCGA-02-0006	MN1	-	-	-	-
TCGA-02-0006	MTOR	-	-	-	-
TCGA-02-0006	NAV3	-	-	-	-
TCGA-02-0006	NBPF10	-	-	-	-
TCGA-02-0006	NCOA4	-	-	-	-
TCGA-02-0006	NF1	-	-	-	-
TCGA-02-0006	NFE2L2	-	-	-	-
TCGA-02-0006	NLRP3	-	-	-	-
TCGA-02-0006	NOTCH1	-	-	-	-
TCGA-02-0006	NR4A2	-	-	-	-
TCGA-02-0006	PCBP1	-	-	-	-
TCGA-02-0006	PDGFRA	-	-	-	-
TCGA-02-0006	PIK3CA	-	-	-	-
TCGA-02-0006	PIK3CG	-	-	-	-
TCGA-02-0006	PIK3R1	-	-	-	-
TCGA-02-0006	PIP5K1A	-	-	-	-
TCGA-02-0006	PLCG1	-	-	-	-
TCGA-02-0006	PPP2R1A	-	-	-	-
TCGA-02-0006	PTEN	-	-	-	-
TCGA-02-0006	RAC1	-	-	-	-
TCGA-02-0006	RANBP2	-	-	-	-
TCGA-02-0006	RANBP3	-	-	-	-
TCGA-02-0006	RB1	-	-	-	-
TCGA-02-0006	RBMX	-	-	-	-
TCGA-02-0006	RHEB	-	-	-	-
TCGA-02-0006	RHOA	-	-	-	-
TCGA-02-0006	RPL5	-	-	-	-
TCGA-02-0006	RPSAP58	-	-	-	-
TCGA-02-0006	RUNX1	-	-	-	-
TCGA-02-0006	RXRA	-	-	-	-
TCGA-02-0006	SMAD2	-	-	-	-
TCGA-02-0006	SMC1A	-	-	-	-
TCGA-02-0006	SPATA6	-	-	-	-
TCGA-02-0006	SPEN	-	-	-	-
TCGA-02-0006	SPOP	-	-	-	-
TCGA-02-0006	STAG2	-	-	-	-
TCGA-02-0006	STK11	-	-	-	-
TCGA-02-0006	SYNE1	-	-	-	-
TCGA-02-0006	TBL1XR1	-	-	-	-
TCGA-02-0006	TBX3	-	-	-	-
TCGA-02-0006	TCF12	-	-	-	-
TCGA-02-0006	TCF7	-	-	-	-
TCGA-02-0006	TET2	-	-	-	-
TCGA-02-0006	TFDP1	-	-	-	-
TCGA-02-0006	TGFBR2	-	-	-	-
TCGA-02-0006	TGIF1	-	-	-	-
TCGA-02-0006	TJP2	-	-	-	-
TCGA-02-0006	TNFRSF10C	-	-	-	-
TCGA-02-0006	TOM1	-	-	-	-
TCGA-02-0006	TP53	-	-	-	-
TCGA-02-0006	U2AF1	-	-	-	-
TCGA-02-0006	WT1	-	-	-	-
TCGA-02-0006	ZFP36L1	-	-	-	-
TCGA-02-0006	ZFP36L2	-	-	-	-
TCGA-02-0006	ZNF132	-	-	-	-
TCGA-02-0006	ZNF300	-	-	-	-
TCGA-02-0006	ZNF814	-	-	-	-
TCGA-02-0006	ZNF844	-	-	-	-
TCGA-02-0007	ABCB1	-	-	-	-
TCGA-02-0007	ACVR1B	-	-	-	-
TCGA-02-0007	ADCY1	2	0	2	-
TCGA-02-0007	ADORA2A	-	-	-	-
TCGA-02-0007	AHNAK2	-	-	-	-
TCGA-02-0007	AKAP9	-	-	-	-
TCGA-02-0007	AKD1	-	-	-	-
TCGA-02-0007	AKT1	-	-	-	-
TCGA-02-0007	AMPH	2	0	2	-
TCGA-02-0007	APAF1	-	-	-	-
TCGA-02-0007	BCOR	-	-	-	-
TCGA-02-0007	BRAF	-	-	-	-
TCGA-02-0007	BRCA1	-	-	-	-
TCGA-02-0007	BRCA2	-	-	-	-
TCGA-02-0007	CAD	-	-	-	-
TCGA-02-0007	CASP8	-	-	-	-
TCGA-02-0007	CAST	-	-	-	-
TCGA-02-0007	CBFB	-	-	-	-
TCGA-02-0007	CCND1	-	-	-	-
TCGA-02-0007	CDKN2A	-	-	-	-
TCGA-02-0007	CDKN2C	-	-	-	-
TCGA-02-0007	CEBPA	-	-	-	-
TCGA-02-0007	CENPF	-	-	-	-
TCGA-02-0007	CFH	-	-	-	-
TCGA-02-0007	CHD4	-	-	-	-
TCGA-02-0007	CHD8	-	-	-	-
TCGA-02-0007	CREM	-	-	-	-
TCGA-02-0007	CRTC3	-	-	-	-
TCGA-02-0007	CTCF	-	-	-	-
TCGA-02-0007	CUL1	-	-	-	-
TCGA-02-0007	DHX9	-	-	-	-
TCGA-02-0007	DICER1	-	-	-	-
TCGA-02-0007	DMD	-	-	-	-
TCGA-02-0007	DNMT3A	-	-	-	-
TCGA-02-0007	EGFR	2	0	2	-
TCGA-02-0007	EIF4A2	-	-	-	-
TCGA-02-0007	ELF3	-	-	-	-
TCGA-02-0007	ERCC2	-	-	-	-
TCGA-02-0007	EWSR1	-	-	-	-
TCGA-02-0007	EZH2	-	-	-	-
TCGA-02-0007	FANCA	-	-	-	-
TCGA-02-0007	FBN2	-	-	-	-
TCGA-02-0007	FBXO11	-	-	-	-
TCGA-02-0007	FES	-	-	-	-
TCGA-02-0007	FGFR3	-	-	-	-
TCGA-02-0007	FLT3	-	-	-	-
TCGA-02-0007	FOXA2	-	-	-	-
TCGA-02-0007	FRG1B	-	-	-	-
TCGA-02-0007	GATA3	-	-	-	-
TCGA-02-0007	GNAI1	-	-	-	-
TCGA-02-0007	GNAS	-	-	-	-
TCGA-02-0007	GOLGA5	-	-	-	-
TCGA-02-0007	GOT2	-	-	-	-
TCGA-02-0007	GPHN	-	-	-	-
TCGA-02-0007	GPS2	-	-	-	-
TCGA-02-0007	H3F3C	-	-	-	-
TCGA-02-0007	HGF	-	-	-	-
TCGA-02-0007	HLA-A	-	-	-	-
TCGA-02-0007	HMGXB4	-	-	-	-
TCGA-02-0007	HRAS	-	-	-	-
TCGA-02-0007	HSPA8	-	-	-	-
TCGA-02-0007	HUWE1	-	-	-	-
TCGA-02-0007	IDH1	-	-	-	-
TCGA-02-0007	IDH2	-	-	-	-
TCGA-02-0007	IRS2	-	-	-	-
TCGA-02-0007	KDM5C	-	-	-	-
TCGA-02-0007	KEAP1	-	-	-	-
TCGA-02-0007	KIFC3	-	-	-	-
TCGA-02-0007	KIT	-	-	-	-
TCGA-02-0007	KRAS	-	-	-	-
TCGA-02-0007	LEPR	-	-	-	-
TCGA-02-0007	LIFR	-	-	-	-
TCGA-02-0007	LPP	-	-	-	-
TCGA-02-0007	LUM	-	-	-	-
TCGA-02-0007	LZTR1	-	-	-	-
TCGA-02-0007	MALAT1	-	-	-	-
TCGA-02-0007	MAP2K4	-	-	-	-
TCGA-02-0007	MAP3K3	-	-	-	-
TCGA-02-0007	MAPK8IP1	-	-	-	-
TCGA-02-0007	MATK	-	-	-	-
TCGA-02-0007	MDM2	-	-	-	-
TCGA-02-0007	MDM4	2	0	2	-
TCGA-02-0007	METTL14	-	-	-	-
TCGA-02-0007	MN1	-	-	-	-
TCGA-02-0007	MTOR	-	-	-	-
TCGA-02-0007	NAV3	-	-	-	-
TCGA-02-0007	NBPF10	-	-	-	-
TCGA-02-0007	NCOA4	-	-	-	-
TCGA-02-0007	NF1	-	-	-	-
TCGA-02-0007	NFE2L2	-	-	-	-
TCGA-02-0007	NLRP3	-	-	-	-
TCGA-02-0007	NOTCH1	-	-	-	-
TCGA-02-0007	NR4A2	-	-	-	-
TCGA-02-0007	PCBP1	-	-	-	-
TCGA-02-0007	PDGFRA	-	-	-	-
