samples	symbol	Genomic Alterations	Mutation	CNA Status	Expression
TCGA-02-0071	CDKN2A	Loss	0	-2	-
TCGA-32-1978	CDKN2A	Loss	0	-2	-
TCGA-06-0187	CDKN2A	Loss	0	-2	-0.078
TCGA-06-0743	CDKN2A	Loss	0	-2	-0.077
TCGA-06-2563	CDKN2A	Loss	0	-2	-0.08
TCGA-06-0876	CDKN2A	Loss	0	-2	-
TCGA-06-5408	CDKN2A	Loss	0	-2	-0.079
TCGA-06-0744	CDKN2A	Loss	0	-2	-0.069
TCGA-32-1991	CDKN2A	Loss	0	-2	-
TCGA-19-5954	CDKN2A	Loss	0	-2	-
TCGA-08-0357	CDKN2A	Loss	0	-2	-
TCGA-08-0514	CDKN2A	Loss	0	-2	-
TCGA-12-0692	CDKN2A	Loss	0	-2	-
TCGA-28-5220	CDKN2A	Loss	0	-2	-0.071
TCGA-76-4926	CDKN2A	Loss	0	-2	-0.077
TCGA-76-4931	CDKN2A	Loss	0	-2	-0.075
TCGA-06-2565	CDKN2A	Loss	0	-2	-0.079
TCGA-16-1048	CDKN2A	Loss	0	-2	-
TCGA-26-1439	CDKN2A	Loss	0	-2	-
TCGA-06-0137	CDKN2A	Loss	0	-2	-
TCGA-14-0786	CDKN2A	Loss	0	-2	-
TCGA-06-0125	CDKN2A	Loss	0	-2	-0.077
TCGA-81-5910	CDKN2A	Loss	0	-2	-
TCGA-06-0211	CDKN2A	Loss	0	-2	-0.075
TCGA-32-1979	CDKN2A	Loss	0	-2	-
TCGA-15-0742	CDKN2A	Loss	0	-2	-0.078
TCGA-06-0158	CDKN2A	Loss	0	-2	-0.068
TCGA-14-0790	CDKN2A	Loss	0	-2	-0.079
TCGA-06-0747	CDKN2A	Loss	0	-2	-0.08
TCGA-27-2528	CDKN2A	Loss	0	-2	-0.076
TCGA-12-3652	CDKN2A	Loss	0	-2	-0.079
TCGA-28-1747	CDKN2A	Loss	0	-2	-0.063
TCGA-32-2495	CDKN2A	Loss	0	-2	-
TCGA-16-0861	CDKN2A	Loss	0	-2	-
TCGA-02-0333	CDKN2A	Loss	0	-2	-
TCGA-06-0148	CDKN2A	Loss	0	-2	-
TCGA-19-5950	CDKN2A	Loss	0	-2	-
TCGA-14-0787	CDKN2A	Loss	0	-2	-0.075
TCGA-02-0043	CDKN2A	Loss	0	-2	-
TCGA-02-0260	CDKN2A	Loss	0	-2	-
TCGA-06-5415	CDKN2A	Loss	0	-2	-0.075
TCGA-28-1749	CDKN2A	Loss	0	-2	-
TCGA-28-1757	CDKN2A	Loss	0	-2	-
TCGA-12-0780	CDKN2A	Loss	0	-2	-
TCGA-12-5299	CDKN2A	Loss	0	-2	-0.047
TCGA-02-0009	CDKN2A	Loss	0	-2	-
TCGA-02-0422	CDKN2A	Loss	0	-2	-
TCGA-02-0038	CDKN2A	Loss	0	-2	-
TCGA-12-0615	CDKN2A	Loss	0	-2	-
TCGA-32-4719	CDKN2A	Loss	0	-2	-
TCGA-19-1786	CDKN2A	Loss	0	-2	-
TCGA-19-5959	CDKN2A	Loss	0	-2	-
TCGA-19-5952	CDKN2A	Loss	0	-2	-
TCGA-27-1837	CDKN2A	Loss	0	-2	-0.065
TCGA-19-2631	CDKN2A	Loss	0	-2	-
TCGA-41-2572	CDKN2A	Loss	0	-2	-0.076
TCGA-12-3653	CDKN2A	Loss	0	-2	-0.071
TCGA-08-0358	CDKN2A	Loss	0	-2	-
TCGA-19-2619	CDKN2A	Loss	0	-2	-0.075
TCGA-27-1833	CDKN2A	Loss	0	-2	-
TCGA-02-0317	CDKN2A	Loss	0	-2	-
TCGA-06-0877	CDKN2A	Loss	0	-2	-
TCGA-12-0688	CDKN2A	Loss	0	-2	-
TCGA-19-5951	CDKN2A	Loss	0	-2	-
TCGA-14-1453	CDKN2A	Loss	0	-2	-
TCGA-06-0145	CDKN2A	Loss	0	-2	-
TCGA-26-1443	CDKN2A	Loss	0	-2	-
TCGA-87-5896	CDKN2A	Loss	0	-2	-
TCGA-06-2564	CDKN2A	Loss	0	-2	-0.061
TCGA-06-0126	CDKN2A	Loss	0	-2	-
TCGA-27-2523	CDKN2A	Loss	0	-2	-0.077
TCGA-28-2514	CDKN2A	Loss	0	-2	-0.076
TCGA-06-5414	CDKN2A	Loss	0	-2	-0.072
TCGA-02-0290	CDKN2A	Loss	0	-2	-
TCGA-12-0657	CDKN2A	Loss	0	-2	-
TCGA-08-0531	CDKN2A	Loss	0	-2	-
TCGA-12-0819	CDKN2A	Loss	0	-2	-
TCGA-16-1055	CDKN2A	Loss	0	-2	-
TCGA-06-0127	CDKN2A	Loss	0	-2	-
TCGA-02-0023	CDKN2A	Loss	0	-2	-
TCGA-16-1047	CDKN2A	Loss	0	-2	-
TCGA-08-0375	CDKN2A	Loss	0	-2	-
TCGA-19-1386	CDKN2A	Loss	0	-2	-
TCGA-08-0355	CDKN2A	Loss	0	-2	-
TCGA-02-0430	CDKN2A	Loss	0	-2	-
TCGA-15-1446	CDKN2A	Loss	0	-2	-
TCGA-08-0525	CDKN2A	Loss	0	-2	-
TCGA-26-1440	CDKN2A	Loss	0	-2	-
TCGA-19-1789	CDKN2A	Loss	0	-2	-
TCGA-12-1094	CDKN2A	Loss	0	-2	-
