gene	symbol	fm-bias	mut-freq	clust-bias
ENSG00000000419	DPM1	null	0.0137931034483	null
ENSG00000000457	SCYL3	null	0.00344827586207	null
ENSG00000000460	C1orf112	null	0.0241379310345	null
ENSG00000000971	CFH	null	0.00689655172414	null
ENSG00000001460	STPG1	null	0.00344827586207	null
ENSG00000001497	LAS1L	null	0.0103448275862	null
ENSG00000001561	ENPP4	null	0.0103448275862	null
ENSG00000001617	SEMA3F	null	0.00344827586207	null
ENSG00000001626	CFTR	null	0.00689655172414	null
ENSG00000001629	ANKIB1	null	0.00344827586207	null
ENSG00000002587	HS3ST1	null	0.00689655172414	null
ENSG00000002726	ABP1	null	0.0137931034483	null
ENSG00000002746	HECW1	null	0.0275862068966	null
ENSG00000002822	MAD1L1	null	0.0137931034483	null
ENSG00000002919	SNX11	null	0.00344827586207	null
ENSG00000003096	KLHL13	0.573172596563	0.0172413793103	null
ENSG00000003393	ALS2	null	0.00344827586207	null
ENSG00000003989	SLC7A2	null	0.00344827586207	null
ENSG00000004468	CD38	null	0.00344827586207	null
ENSG00000004487	KDM1A	null	0.00344827586207	null
ENSG00000004660	CAMKK1	null	0.0103448275862	null
ENSG00000004766	CCDC132	null	0.0137931034483	null
ENSG00000004799	PDK4	null	0.00344827586207	null
ENSG00000004846	ABCB5	null	0.0137931034483	null
ENSG00000004848	ARX	null	0.00344827586207	null
ENSG00000004939	SLC4A1	null	0.0172413793103	null
ENSG00000004948	CALCR	null	0.0275862068966	null
ENSG00000004961	HCCS	null	0.00344827586207	null
ENSG00000004975	DVL2	null	0.0206896551724	null
ENSG00000005001	PRSS22	null	0.00344827586207	null
ENSG00000005007	UPF1	null	0.0103448275862	null
ENSG00000005020	SKAP2	null	0.0103448275862	null
ENSG00000005108	THSD7A	null	0.0103448275862	null
ENSG00000005156	LIG3	null	0.00344827586207	null
ENSG00000005187	ACSM3	null	0.0103448275862	null
ENSG00000005238	FAM214B	null	0.00689655172414	null
ENSG00000005339	CREBBP	0.999999077166	0.0241379310345	null
ENSG00000005379	BZRAP1	null	0.00689655172414	null
ENSG00000005381	MPO	null	0.0103448275862	null
ENSG00000005421	PON1	null	0.0137931034483	null
ENSG00000005469	CROT	null	0.00344827586207	null
ENSG00000005471	ABCB4	null	0.0310344827586	null
ENSG00000005486	RHBDD2	null	0.00344827586207	null
ENSG00000005700	IBTK	null	0.00689655172414	null
ENSG00000005801	ZNF195	null	0.00344827586207	null
ENSG00000005810	MYCBP2	null	0.00344827586207	null
ENSG00000005884	ITGA3	null	0.00344827586207	null
ENSG00000005889	ZFX	null	0.00344827586207	null
ENSG00000005893	LAMP2	null	0.0103448275862	null
ENSG00000005955	GGNBP2	null	0.00344827586207	null
ENSG00000005961	ITGA2B	null	0.00344827586207	null
ENSG00000005981	ASB4	null	0.00344827586207	null
ENSG00000006016	CRLF1	null	0.0103448275862	null
ENSG00000006047	YBX2	null	0.00689655172414	null
ENSG00000006059	KRT33A	null	0.00689655172414	null
ENSG00000006071	ABCC8	null	0.00344827586207	null
ENSG00000006075	CCL3	null	0.00689655172414	null
ENSG00000006114	SYNRG	null	0.00344827586207	null
ENSG00000006116	CACNG3	null	0.0172413793103	null
ENSG00000006128	TAC1	null	0.00344827586207	null
ENSG00000006194	ZNF263	null	0.0137931034483	null
ENSG00000006210	CX3CL1	null	0.00344827586207	null
ENSG00000006282	SPATA20	null	0.00344827586207	null
ENSG00000006283	CACNA1G	null	0.00689655172414	null
ENSG00000006377	DLX6	null	0.00344827586207	null
ENSG00000006432	MAP3K9	null	0.0103448275862	null
ENSG00000006453	BAIAP2L1	null	0.0103448275862	null
ENSG00000006459	JHDM1D	0.0461055062454	0.0172413793103	0.231561150785
ENSG00000006576	PHTF2	null	0.00344827586207	null
ENSG00000006607	FARP2	null	0.00344827586207	null
ENSG00000006652	IFRD1	null	0.00689655172414	null
ENSG00000006659	LGALS14	null	0.00344827586207	null
ENSG00000006695	COX10	null	0.00689655172414	null
ENSG00000006704	GTF2IRD1	null	0.00689655172414	null
ENSG00000006715	VPS41	null	0.0103448275862	null
ENSG00000006740	ARHGAP44	null	0.00689655172414	null
ENSG00000006747	SCIN	null	0.00344827586207	null
ENSG00000006756	ARSD	null	0.0103448275862	null
ENSG00000006788	MYH13	null	0.0241379310345	null
ENSG00000007047	MARK4	null	0.0103448275862	null
ENSG00000007080	CCDC124	null	0.00344827586207	null
ENSG00000007174	DNAH9	null	0.0379310344828	null
ENSG00000007202	KIAA0100	null	0.00689655172414	null
ENSG00000007216	SLC13A2	null	0.0137931034483	null
ENSG00000007237	GAS7	null	0.00344827586207	null
ENSG00000007264	MATK	null	0.0103448275862	null
ENSG00000007306	CEACAM7	null	0.0137931034483	null
ENSG00000007312	CD79B	null	0.00344827586207	null
ENSG00000007314	SCN4A	null	0.0172413793103	null
ENSG00000007350	TKTL1	null	0.00344827586207	null
ENSG00000007372	PAX6	null	0.00344827586207	null
ENSG00000007402	CACNA2D2	null	0.0172413793103	null
ENSG00000007516	BAIAP3	null	0.00344827586207	null
ENSG00000007908	SELE	null	0.0172413793103	null
ENSG00000007923	DNAJC11	null	0.0172413793103	null
ENSG00000007933	FMO3	null	0.0103448275862	null
ENSG00000007944	MYLIP	null	0.0103448275862	null
ENSG00000007952	NOX1	null	0.00344827586207	null
ENSG00000008083	JARID2	null	0.00689655172414	null
ENSG00000008086	CDKL5	null	0.0206896551724	null
ENSG00000008118	CAMK1G	null	0.0103448275862	null
ENSG00000008196	TFAP2B	null	0.00689655172414	null
ENSG00000008197	TFAP2D	null	0.0103448275862	null
ENSG00000008226	DLEC1	null	0.0137931034483	null
ENSG00000008277	ADAM22	null	0.0137931034483	null
ENSG00000008300	CELSR3	0.351108118842	0.0172413793103	null
ENSG00000008311	AASS	null	0.0103448275862	null
ENSG00000008323	PLEKHG6	null	0.0103448275862	null
ENSG00000008405	CRY1	null	0.00344827586207	null
ENSG00000008441	NFIX	null	0.0137931034483	null
ENSG00000008513	ST3GAL1	null	0.00344827586207	null
ENSG00000008517	IL32	null	0.00689655172414	null
ENSG00000008710	PKD1	null	0.0241379310345	null
ENSG00000008735	MAPK8IP2	null	0.00689655172414	null
ENSG00000008853	RHOBTB2	null	0.00344827586207	null
ENSG00000008869	HEATR5B	null	0.00689655172414	null
ENSG00000008952	SEC62	null	0.00344827586207	null
ENSG00000008988	RPS20	null	0.00344827586207	null
ENSG00000009307	CSDE1	null	0.0103448275862	null
ENSG00000009335	UBE3C	0.999999077166	0.0241379310345	null
ENSG00000009413	REV3L	null	0.00344827586207	null
ENSG00000009694	TENM1	null	0.0172413793103	null
ENSG00000009724	MASP2	null	0.00689655172414	null
ENSG00000009790	TRAF3IP3	null	0.00344827586207	null
ENSG00000009950	MLXIPL	null	0.0103448275862	null
ENSG00000009954	BAZ1B	null	0.00344827586207	null
ENSG00000010165	METTL13	null	0.00344827586207	null
ENSG00000010219	DYRK4	null	0.00689655172414	null
ENSG00000010244	ZNF207	null	0.00689655172414	null
ENSG00000010256	UQCRC1	null	0.00344827586207	null
ENSG00000010270	STARD3NL	null	0.00689655172414	null
ENSG00000010319	SEMA3G	null	0.0103448275862	null
ENSG00000010322	NISCH	null	0.0103448275862	null
ENSG00000010327	STAB1	0.999999077166	0.0344827586207	null
ENSG00000010379	SLC6A13	null	0.00689655172414	null
ENSG00000010438	PRSS3	null	0.00344827586207	null
ENSG00000010610	CD4	null	0.00344827586207	null
